City_Name,Total_Population,White_Alone,Black_or_African_American,Asian,Hispanic_or_Latino,Median_Household_Income,State_FIPS,Place_Code,Percentage_White
Madaket CDP,274,274,0,0,0,101563,25,37735,100.0
Methuen Town city,50282,37487,2158,2075,14837,77484,25,40710,74.55351815759118
Palmer Town city,12237,10993,273,240,556,64651,25,52144,89.83410966740215
Petersham CDP,259,246,3,0,22,66458,25,53085,94.98069498069498
Russell CDP,526,478,17,0,57,49073,25,58615,90.8745247148289
Siasconset CDP,81,71,9,1,0,64250,25,61940,87.65432098765432
Southbridge Town city,16887,13873,575,72,5548,51270,25,63345,82.15195120506898
The Pinehills CDP,1419,1341,0,78,0,101518,25,69585,94.5031712473573
Upton CDP,2292,2221,47,0,182,89507,25,71445,96.9022687609075
Watertown Town city,35401,29303,577,3497,3272,101103,25,73440,82.77449789553968
West Springfield Town city,28609,24906,916,1158,3030,53053,25,77890,87.05652067531197
Edgartown CDP,508,488,19,0,3,58750,25,21115,96.06299212598425
Hanscom AFB CDP,2045,1593,89,235,280,108056,25,28425,77.89731051344744
