POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,SHAPE_AREA,SHAPE_LEN
02718,EAST TAUNTON,NON UNIQUE,EAST TAUNTON,20555,"LAKEVILLE, TOWN OF",PLYMOUTH,0.0033505,8677.75725486,756.215778474
02135,BRIGHTON,NON UNIQUE,BRIGHTON,08330,"BROOKLINE, TOWN OF",NORFOLK,0.00318986,8779.9119892,443.755124514
02148,MALDEN,NON UNIQUE,MALDEN,37875,REVERE,SUFFOLK,0.00167185,4330.06134208,609.632881303
01432,AYER,NON UNIQUE,AYER,03040,"HARVARD, TOWN OF",WORCESTER,0.00058379,1511.99898293,211.326486824
01904,LYNN,NON UNIQUE,LYNN,37490,LYNN,ESSEX,4.22888343,10952757.7982,22465.8537524
02189,EAST WEYMOUTH,NON UNIQUE,EAST WEYMOUTH,20835,"WEYMOUTH, TOWN OF",NORFOLK,4.06211923,10520840.4972,20817.2588607
01108,SPRINGFIELD,NON UNIQUE,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,4.0360997,10453450.2233,17247.9275263
01380,WENDELL DEPOT,NON UNIQUE,WENDELL DEPOT,74560,"WENDELL, TOWN OF",FRANKLIN,3.77622738,9780384.01656,22147.3979166
02453,WALTHAM,NON UNIQUE,WALTHAM,72600,WALTHAM,MIDDLESEX,3.65960328,9478328.97267,29852.3777865
01119,SPRINGFIELD,NON UNIQUE,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,3.42876664,8880464.82482,16999.7641418
02149,EVERETT,NON UNIQUE,EVERETT,21990,EVERETT,MIDDLESEX,3.39290335,8787579.3286,16432.0722416
01851,LOWELL,NON UNIQUE,LOWELL,37000,LOWELL,MIDDLESEX,3.35726061,8695265.05088,13944.4100784
01843,LAWRENCE,NON UNIQUE,LAWRENCE,34550,LAWRENCE,ESSEX,3.35256158,8683094.63228,17170.8475642
02472,WATERTOWN,NON UNIQUE,WATERTOWN,73440,WATERTOWN,MIDDLESEX,4.02570259,10426521.8535,20026.7688985
01854,LOWELL,NON UNIQUE,LOWELL,37000,LOWELL,MIDDLESEX,3.97910135,10305825.1726,27332.25617
01084,WEST CHESTERFIELD,NON UNIQUE,WEST CHESTERFIELD,75610,"CHESTERFIELD, TOWN OF",HAMPSHIRE,4.20149821,10881830.4177,23754.2360799
01542,ROCHDALE,NON UNIQUE,ROCHDALE,57530,"LEICESTER, TOWN OF",WORCESTER,4.14213776,10728087.5438,16724.019878
02452,WALTHAM,NON UNIQUE,WALTHAM,72600,WALTHAM,MIDDLESEX,3.80762042,9861691.61617,13537.5866001
01609,WORCESTER,NON UNIQUE,WORCESTER,82000,WORCESTER,WORCESTER,3.79605572,9831739.16949,21903.2901431
01247,NORTH ADAMS,NON UNIQUE,NORTH ADAMS,46225,"MONROE, TOWN OF",FRANKLIN,8.12432666,21041909.4546,21223.5104276
01008,BLANDFORD,NON UNIQUE,BLANDFORD,06050,"OTIS, TOWN OF",BERKSHIRE,8.11116703,21007826.1588,29106.6218189
01970,SALEM,NON UNIQUE,SALEM,59105,SALEM,ESSEX,8.10431968,20990091.6055,39783.3027394
01984,WENHAM,NON UNIQUE,WENHAM,74630,"WENHAM, TOWN OF",ESSEX,8.08791383,20947600.6447,32538.8641709
01835,HAVERHILL,NON UNIQUE,HAVERHILL,29405,HAVERHILL,ESSEX,8.06934245,20899501.0069,26409.5272673
02646,HARWICH PORT,NON UNIQUE,HARWICH PORT,29090,HARWICH,BARNSTABLE,2.68029043,6941920.33359,20916.6174988
02561,SAGAMORE,PO BOX,SAGAMORE,58965,"BOURNE, TOWN OF",BARNSTABLE,2.61849426,6781868.98894,11541.2429804
01118,SPRINGFIELD,NON UNIQUE,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,3.65172888,9457934.37166,15922.0743337
02534,CATAUMET,PO BOX,CATAUMET,11805,"BOURNE, TOWN OF",BARNSTABLE,2.12877433,5513500.19823,20742.7408365
01002,AMHERST,NON UNIQUE,AMHERST,01290,"SHUTESBURY, TOWN OF",FRANKLIN,2.11283202,5472209.82115,10678.481102
02724,FALL RIVER,NON UNIQUE,FALL RIVER,23000,FALL RIVER,BRISTOL,2.11257106,5471533.92643,11178.970888
02466,AUBURNDALE,NON UNIQUE,AUBURNDALE,02830,NEWTON,MIDDLESEX,1.74824703,4527939.02517,14172.0115202
02650,NORTH CHATHAM,NON UNIQUE,NORTH CHATHAM,47275,"CHATHAM, TOWN OF",BARNSTABLE,1.64073077,4249473.19806,16927.0448378
02119,ROXBURY,NON UNIQUE,ROXBURY,58475,BOSTON,SUFFOLK,1.63137772,4163153.32962,13081.5031005
01129,SPRINGFIELD,NON UNIQUE,SPRINGFIELD,67000,SPRINGFIELD,HAMPDEN,3.60278173,9331161.83752,19751.96242
01611,CHERRY VALLEY,NON UNIQUE,CHERRY VALLEY,13275,"LEICESTER, TOWN OF",WORCESTER,3.44684824,8927295.96082,19058.2310513
02465,WEST NEWTON,NON UNIQUE,WEST NEWTON,77185,NEWTON,MIDDLESEX,2.13274738,5523790.35537,11770.3038995
02131,ROSLINDALE,NON UNIQUE,ROSLINDALE,58265,BOSTON,SUFFOLK,3.32868736,8062582.27931,20034.8136671
01222,ASHLEY FALLS,NON UNIQUE,ASHLEY FALLS,02200,"SHEFFIELD, TOWN OF",BERKSHIRE,3.30454102,8558721.9626,15258.3418563
02474,ARLINGTON,NON UNIQUE,ARLINGTON,01640,"ARLINGTON, TOWN OF",MIDDLESEX,3.27548524,8483467.81426,18659.0660356
01560,SOUTH GRAFTON,NON UNIQUE,SOUTH GRAFTON,60120,"GRAFTON, TOWN OF",WORCESTER,3.27102315,8471911.05501,19536.4493761
01092,WEST WARREN,PO BOX,WEST WARREN,78445,"WARREN, TOWN OF",WORCESTER,3.25431131,8428627.59882,14160.4043035
02124,DORCHESTER CENTER,NON UNIQUE,DORCHESTER CENTER,17125,BOSTON,SUFFOLK,3.23298187,8189967.63011,22747.6948027
02138,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,3.02587488,7835824.49604,16853.9735953
02494,NEEDHAM HEIGHTS,NON UNIQUE,NEEDHAM HEIGHTS,44175,"NEEDHAM, TOWN OF",NORFOLK,3.01547389,7810041.5101,14424.7608524
02467,CHESTNUT HILL,NON UNIQUE,CHESTNUT HILL,13625,"BROOKLINE, TOWN OF",NORFOLK,2.98456672,7774052.87434,14029.5739173
02125,DORCHESTER,NON UNIQUE,DORCHESTER,17090,BOSTON,SUFFOLK,2.9695764,7630150.399,37697.8196034
01223,BECKET,NON UNIQUE,BECKET,04510,"BLANDFORD, TOWN OF",HAMPDEN,2.93063789,7590317.29491,14686.9718538
02127,SOUTH BOSTON,NON UNIQUE,SOUTH BOSTON,63200,BOSTON,SUFFOLK,2.56215814,6771908.24898,29234.4111681
01151,INDIAN ORCHARD,NON UNIQUE,INDIAN ORCHARD,32100,SPRINGFIELD,HAMPDEN,2.56179187,6635010.47232,12763.110411
02135,BRIGHTON,NON UNIQUE,BRIGHTON,08330,BOSTON,SUFFOLK,2.53017277,6778551.02,18333.955779
02171,QUINCY,NON UNIQUE,QUINCY,55745,QUINCY,NORFOLK,2.5215007,6530656.83333,27938.7498168
02032,EAST WALPOLE,NON UNIQUE,EAST WALPOLE,20730,"WALPOLE, TOWN OF",NORFOLK,2.25608698,5843238.45675,12272.3293995
02670,WEST DENNIS,NON UNIQUE,WEST DENNIS,75820,"DENNIS, TOWN OF",BARNSTABLE,2.2505835,5828984.50734,20645.427567
02659,SOUTH CHATHAM,NON UNIQUE,SOUTH CHATHAM,63515,"CHATHAM, TOWN OF",BARNSTABLE,2.22489917,5762462.38823,15848.0724008
02476,ARLINGTON,NON UNIQUE,ARLINGTON,01640,"ARLINGTON, TOWN OF",MIDDLESEX,2.15110683,5571341.10267,12575.4904967
02120,ROXBURY CROSSING,NON UNIQUE,ROXBURY CROSSING,58510,BOSTON,SUFFOLK,0.66067031,1631019.08794,8383.43195581
02141,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,CAMBRIDGE,MIDDLESEX,0.65065276,1685182.90892,8481.83540624
01434,DEVENS,NON UNIQUE,DEVENS,16840,"AYER, TOWN OF",MIDDLESEX,0.64302673,1665431.57832,6588.80237846
02462,NEWTON LOWER FALLS,NON UNIQUE,NEWTON LOWER FALLS,45665,NEWTON,MIDDLESEX,0.58695824,1520214.86552,9916.52932064
02467,CHESTNUT HILL,NON UNIQUE,CHESTNUT HILL,13625,BOSTON,SUFFOLK,0.53184772,1757382.92018,11199.5184981
01350,MONROE BRIDGE,PO BOX,MONROE BRIDGE,42075,"MONROE, TOWN OF",FRANKLIN,1.98926194,5152164.774,10599.9354869
02458,NEWTON,NON UNIQUE,NEWTON,45560,NEWTON,MIDDLESEX,1.97041616,5105458.19869,13301.3203414
01080,THREE RIVERS,NON UNIQUE,THREE RIVERS,69730,"PALMER, TOWN OF",HAMPDEN,1.5268771,3954593.54122,11690.1303901
02150,CHELSEA,NON UNIQUE,CHELSEA,13205,CHELSEA,SUFFOLK,2.21853235,5745972.4039,14039.6667733
01338,BUCKLAND,NON UNIQUE,BUCKLAND,09560,"BUCKLAND, TOWN OF",FRANKLIN,2.17759209,5639937.61896,15339.699914
01610,WORCESTER,NON UNIQUE,WORCESTER,82000,WORCESTER,WORCESTER,2.16157829,5598462.08018,17046.6675428
02445,BROOKLINE,NON UNIQUE,BROOKLINE,09210,"BROOKLINE, TOWN OF",NORFOLK,2.50194438,6476387.52477,15035.6762589
